,drug_co,occurs
1261,"('gabapentin', 'oxymorphone')",3
1262,"('lorazepam', 'oxazepam')",3
1263,"('methadone', 'stimulants')",3
1264,"('metoprolol', 'nordiazapam')",3
1265,"('metoprolol', 'thc')",3
1266,"('miscellaneous', 'morphine')",3
1267,"('morphine', 'narcotics')",3
1268,"('amphetamine', 'eddp')",3
1269,"('amphetamines', 'barbituates')",3
1270,"('amphetamines', 'eszopiclone')",3
1271,"('amphetamines', 'gabapentin')",3
1272,"('amphetamines', 'tramadol')",3
1273,"('amphetamines', 'tramadol_aggregate')",3
1274,"('analgesics', 'nortramadol')",3
1275,"('anticonvulsants', 'eszopiclone')",3
1276,"('anticonvulsants', 'nortramadol')",3
1277,"('antidepressants', 'eszopiclone')",3
1278,"('antidepressants', 'nortramadol')",3
1279,"('citalopram', 'hydrocodone')",3
1280,"('dextromethorphan', 'norfluoxetine')",3
1281,"('dextromethorphan', 'nortramadol')",3
1282,"('dextromethorphan', 'sedatives_hypnotics')",3
1283,"('eddp', 'eszopiclone')",3
1284,"('eddp', 'nortramadol')",3
1285,"('eszopiclone', 'hydrocodone')",3
1286,"('eszopiclone', 'opioids')",3
1287,"('eszopiclone', 'paroxetine')",3
1288,"('gabapentin', 'tramadol')",3
1289,"('gabapentin', 'tramadol_aggregate')",3
1290,"('hydrocodone', 'nortramadol')",3
1291,"('norfluoxetine', 'otc_cold_remedies')",3
1292,"('nortramadol', 'otc_cold_remedies')",3
1293,"('nortramadol', 'paroxetine')",3
1294,"('otc_cold_remedies', 'sedatives_hypnotics')",3
1295,"('sedatives_hypnotics', 'tramadol')",3
1296,"('sedatives_hypnotics', 'tramadol_aggregate')",3
1297,"('dextromethorphan', 'aohalprazolam')",3
1298,"('otc_cold_remedies', 'aohalprazolam')",3
1299,"('cardiovascular', 'ephedrine')",3
1300,"('clonazepam', 'ephedrine')",3
1301,"('cocaethylene', 'hydrocodone')",3
1302,"('codeine', 'ephedrine')",3
1303,"('ephedrine', 'heroin_from_combo')",3
1304,"('ephedrine', 'hydromorphone')",3
1305,"('hydrocodone', 'verapamil')",3
1306,"('6_mam', 'oxazepam')",3
1307,"('amphetamines', 'oxazepam')",3
1308,"('cocaine', 'oxazepam')",3
1309,"('codeine', 'oxazepam')",3
1310,"('heroin_from_combo', 'oxazepam')",3
1311,"('lorazepam', 'mda')",3
1312,"('cardiovascular', 'oxymorphone')",3
1313,"('antihistamines', 'thc_cooh')",3
1314,"('hydroxyzine', 'thc_cooh')",3
1315,"('clonazepam', 'metoprolol')",3
1316,"('metoprolol', 'verapamil')",3
1317,"('amphetamines', 'oxcarbazepine')",3
1318,"('amphetamines', 'topiramate')",3
1319,"('analgesics', 'antipsycotics')",3
1320,"('analgesics', 'trazodone')",3
1321,"('anticonvulsants', 'buprenorphine')",3
1322,"('anticonvulsants', 'ephedrine')",3
1323,"('antidepressants', 'ephedrine')",3
1324,"('antidepressants', 'norbuprenorphine')",3
1325,"('antidepressants', 'verapamil')",3
1326,"('antipsycotics', 'hydromorphone')",3
1327,"('benzodiazepine', 'buprenorphine')",3
1328,"('benzodiazepine', 'chlorophenylpiperazine')",3
1329,"('buprenorphine', 'paroxetine')",3
1330,"('cardiovascular', 'chlorophenylpiperazine')",3
1331,"('cardiovascular', 'tramadol')",3
1332,"('cardiovascular', 'tramadol_aggregate')",3
1333,"('chlorophenylpiperazine', 'hydrocodone')",3
1334,"('chlorophenylpiperazine', 'trazodone')",3
1335,"('clonazepam', 'tramadol')",3
1336,"('clonazepam', 'tramadol_aggregate')",3
1337,"('dextromethorphan', 'ephedrine')",3
1338,"('dextromethorphan', 'norbuprenorphine')",3
1339,"('dextromethorphan', 'norfentanyl')",3
1340,"('dextromethorphan', 'verapamil')",3
1341,"('eddp', 'ephedrine')",3
1342,"('eddp', 'verapamil')",3
1343,"('ephedrine', 'norfentanyl')",3
1344,"('fentanyl', 'verapamil')",3
1345,"('hydrocodone', 'topiramate')",3
1346,"('hydromorphone', 'topiramate')",3
1347,"('norbuprenorphine', 'otc_cold_remedies')",3
1348,"('norbuprenorphine', 'paroxetine')",3
1349,"('norfentanyl', 'paroxetine')",3
1350,"('norfentanyl', 'verapamil')",3
1351,"('otc_cold_remedies', 'verapamil')",3
1352,"('oxcarbazepine', 'trazodone')",3
1353,"('paroxetine', 'verapamil')",3
1354,"('topiramate', 'tramadol')",3
1355,"('topiramate', 'tramadol_aggregate')",3
1356,"('alcohols', 'buprenorphine')",3
1357,"('alcohols', 'norbuprenorphine')",3
1358,"('antihistamines', 'buprenorphine')",3
1359,"('antihistamines', 'norbuprenorphine')",3
1360,"('buprenorphine', 'ethanol')",3
1361,"('buprenorphine', 'hydroxyzine')",3
1362,"('buprenorphine', 'metoprolol')",3
1363,"('buprenorphine', 'thc_aggregate')",3
1364,"('carboxy_thc', 'hydroxyzine')",3
1365,"('diltiazem', 'hydroxyzine')",3
1366,"('diltiazem', 'metoprolol')",3
1367,"('diphenhydramine', 'hydroxyzine')",3
1368,"('diphenhydramine', 'thc_aggregate')",3
1369,"('ethanol', 'norbuprenorphine')",3
1370,"('hydroxyzine', 'norbuprenorphine')",3
1371,"('metoprolol', 'norbuprenorphine')",3
1372,"('6_mam', 'gastrointestionals')",3
1373,"('6_mam', 'promethazine')",3
1374,"('codeine', 'gastrointestionals')",3
1375,"('codeine', 'promethazine')",3
1376,"('eddp', 'opiates')",3
1377,"('gastrointestionals', 'heroin_from_combo')",3
1378,"('gastrointestionals', 'morphine')",3
1379,"('heroin_from_combo', 'promethazine')",3
1380,"('morphine', 'promethazine')",3
1381,"('opiates', 'aohalprazolam')",3
1382,"('amphetamines', 'thc_cooh')",3
1383,"('antihistamines', 'nordiazapam')",3
1384,"('benzodiazepine', 'hydroxyzine')",3
1385,"('doxylamine', 'hydroxyzine')",3
1386,"('doxylamine', 'metoprolol')",3
1387,"('6_mam', 'mdma')",3
1388,"('cocaine', 'mdma')",3
1389,"('mdma', 'morphine')",3
1390,"('mdma', 'oxycodone')",3
1391,"('mdma', 'oxymorphone')",3
1392,"('alcohols', 'levetiracetam')",3
1393,"('alcohols', 'topiramate')",3
1394,"('anticonvulsants', 'diphenhydramine')",3
1395,"('anticonvulsants', 'levetiracetam')",3
1396,"('antidepressants', 'levetiracetam')",3
1397,"('carboxy_thc', 'dextromethorphan')",3
1398,"('carboxy_thc', 'otc_cold_remedies')",3
1399,"('dextromethorphan', 'metoprolol')",3
1400,"('ethanol', 'levetiracetam')",3
1401,"('ethanol', 'topiramate')",3
1402,"('levetiracetam', 'paroxetine')",3
1403,"('metoprolol', 'otc_cold_remedies')",3
1404,"('opioids', 'pseudoephedrine')",3
1405,"('antidepressants', 'doxepin')",3
1406,"('dextromethorphan', 'doxepin')",3
1407,"('doxepin', 'eddp')",3
1408,"('doxepin', 'otc_cold_remedies')",3
1409,"('doxepin', 'paroxetine')",3
1410,"('doxepin', 'trazodone')",3
1411,"('stimulants', 'trazodone')",3
1412,"('alcohols', 'norfluoxetine')",3
1413,"('anticonvulsants', 'methadone')",3
1414,"('ethanol', 'norfluoxetine')",3
1415,"('analgesics', 'miscellaneous')",3
1416,"('anticonvulsants', 'oxazepam')",3
1417,"('antipsycotics', 'lorazepam')",3
1418,"('barbituates', 'buprenorphine')",3
1419,"('dextromethorphan', 'oxazepam')",3
1420,"('gabapentin', 'miscellaneous')",3
1421,"('miscellaneous', 'tramadol')",3
1422,"('miscellaneous', 'tramadol_aggregate')",3
1423,"('otc_cold_remedies', 'oxazepam')",3
1424,"('benzodiazepine', 'chloropheniramine')",3
1425,"('lorazepam', 'methamphetamine')",3
1426,"('amphetamines', 'sertraline')",3
1427,"('antidepressants', 'methamphetamine')",3
1428,"('eddp', 'sertraline')",3
1429,"('6_mam', 'phenylpropanolamine')",3
1430,"('antipsycotics', 'mdma')",3
1431,"('mdma', 'quetiapine')",3
1432,"('methadone', 'quetiapine')",3
1433,"('carboxy_thc', 'cocaine')",3
1434,"('carboxy_thc', 'mda')",3
1435,"('carboxy_thc', 'methamphetamine')",3
1436,"('doxylamine', 'fentanyl')",3
1437,"('doxylamine', 'norfentanyl')",3
1438,"('7aminoclonazepam', 'amphetamine')",3
1439,"('hydrocodone', 'quetiapine')",3
1440,"('analgesics', 'thc_aggregate')",3
1441,"('carboxy_thc', 'gabapentin')",3
1442,"('carboxy_thc', 'hydrocodone')",3
1443,"('carboxy_thc', 'stimulants')",3
1444,"('gabapentin', 'thc_aggregate')",3
1445,"('glucose', 'hydromorphone')",3
1446,"('hydrocodone', 'thc')",3
1447,"('6_mam', 'muscle_relaxants')",3
1448,"('alprazolam', 'muscle_relaxants')",3
1449,"('codeine', 'muscle_relaxants')",3
1450,"('heroin_from_combo', 'muscle_relaxants')",3
1451,"('morphine', 'muscle_relaxants')",3
1452,"('antipsycotics', 'nordiazapam')",3
1453,"('nordiazapam', 'quetiapine')",3
1454,"('amphetamine', 'methadone')",3
1455,"('antidepressants', 'narcotics')",3
1456,"('dextromethorphan', 'narcotics')",3
1457,"('dihydrocodeine', 'stimulants')",3
1458,"('eddp', 'narcotics')",3
1459,"('gastrointestionals', 'hydrocodone')",3
1460,"('gastrointestionals', 'oxcarbazepine')",3
1461,"('hydrocodone', 'promethazine')",3
1462,"('narcotics', 'otc_cold_remedies')",3
1463,"('narcotics', 'paroxetine')",3
1464,"('oxazepam', 'paroxetine')",3
1465,"('oxcarbazepine', 'promethazine')",3
1466,"('analgesics', 'morphine')",3
1467,"('anticonvulsants', 'cocaine')",3
1468,"('anticonvulsants', 'mda')",3
1469,"('sedatives_hypnotics', 'thc_aggregate')",3
1470,"('alphahydroxyalprazolam', 'amitriptyline')",3
1471,"('alphahydroxyalprazolam', 'antidepressants')",3
1472,"('alphahydroxyalprazolam', 'eddp')",3
1473,"('alphahydroxyalprazolam', 'fentanyl')",3
1474,"('alphahydroxyalprazolam', 'paroxetine')",3
1475,"('amitriptyline', 'benzodiazepine')",3
1476,"('amitriptyline', 'paroxetine')",3
1477,"('amitriptyline', 'stimulants')",3
1478,"('fentanyl', 'miscellaneous')",3
1479,"('fentanyl', 'muscle_relaxants')",3
1480,"('muscle_relaxants', 'norfentanyl')",3
1481,"('amphetamine', 'cardiovascular')",3
1482,"('amphetamine', 'diltiazem')",3
1483,"('antibiotics', 'dextromethorphan')",3
1484,"('antibiotics', 'levofloxacin')",3
1485,"('antibiotics', 'otc_cold_remedies')",3
1486,"('antidepressants', 'levofloxacin')",3
1487,"('benzodiazepine', 'levofloxacin')",3
1488,"('dextromethorphan', 'levofloxacin')",3
1489,"('eddp', 'levofloxacin')",3
1490,"('levofloxacin', 'otc_cold_remedies')",3
1491,"('levofloxacin', 'paroxetine')",3
1492,"('alcohols', 'sertraline')",3
1493,"('anticonvulsants', 'sertraline')",3
1494,"('dextromethorphan', 'sertraline')",3
1495,"('ethanol', 'sertraline')",3
1496,"('otc_cold_remedies', 'sertraline')",3
1497,"('7aminoclonazepam', 'sedatives_hypnotics')",3
1498,"('antipsycotics', 'sedatives_hypnotics')",3
1499,"('quetiapine', 'sedatives_hypnotics')",3
1500,"('dihydrocodeine', 'fentanyl')",3
1501,"('dihydrocodeine', 'norfentanyl')",3
1502,"('mdma', 'thc_aggregate')",3
1503,"('cocaine', 'stimulants')",3
1504,"('gastrointestionals', 'oxycodone')",3
1505,"('gastrointestionals', 'sedatives_hypnotics')",3
1506,"('opioids', 'sertraline')",3
1507,"('oxycodone', 'promethazine')",3
1508,"('oxycodone', 'sedatives_hypnotics')",3
1509,"('promethazine', 'sedatives_hypnotics')",3
1510,"('delta_9_carboxy_thc', 'methadone')",3
1511,"('anticonvulsants', 'diltiazem')",3
1512,"('anticonvulsants', 'methamphetamine')",3
1513,"('antihistamines', 'gabapentin')",3
1514,"('nicotine', 'paroxetine')",3
1515,"('hydromorphone', 'nicotine')",3
1516,"('morphine', 'nicotine')",3
1517,"('nicotine', 'sedatives_hypnotics')",3
1518,"('opioids', 'salicylates')",3
1519,"('sedatives_hypnotics', 'trazodone')",3
1520,"('amphetamine', 'dihydrocodeine')",3
1521,"('amphetamines', 'dihydrocodeine')",3
1522,"('alprazolam', 'caffeine')",3
1523,"('antihistamines', 'caffeine')",3
1524,"('amphetamine', 'pseudoephedrine')",3
1525,"('amphetamines', 'pseudoephedrine')",3
1526,"('methamphetamine', 'pseudoephedrine')",3
1527,"('11_hydroxy_delta_9_thc', 'oxymorphone')",3
1528,"('cotinine', 'sedatives_hypnotics')",3
1529,"('11_hydroxy_delta_9_thc', 'cocaine')",3
1530,"('delta_9_carboxy_thc', 'diazepam')",3
1531,"('diazepam', 'norfentanyl')",3
1532,"('benzoylecgonine', 'dihydrocodeine')",3
1533,"('amphetamine', 'opiates')",3
1534,"('cocaine', 'thc')",3
1535,"('cotinine', 'thc_aggregate')",3
1536,"('cotinine', 'thc_cooh')",3
1537,"('fentanyl', 'thc')",3
1538,"('nicotine', 'thc_aggregate')",3
1539,"('nicotine', 'thc_cooh')",3
1540,"('norfentanyl', 'thc_cooh')",3
1541,"('alprazolam', 'nicotine')",3
1542,"('citalopram', 'cotinine')",3
1543,"('cotinine', 'aohalprazolam')",3
1544,"('nicotine', 'aohalprazolam')",3
1545,"('thc_aggregate', 'aohalprazolam')",3
1546,"('thc_cooh', 'aohalprazolam')",3
1547,"('caffeine', 'fentanyl')",3
1548,"('delta_9_carboxy_thc', 'phenylpropanolamine')",3
1549,"('delta_9_thc', 'phenylpropanolamine')",3
1550,"('phenylpropanolamine', 'thc_aggregate')",3
1551,"('diphenhydramine', 'stimulants')",3
1552,"('6_mam', 'stimulants')",3
1553,"('codeine', 'stimulants')",3
1554,"('heroin_from_combo', 'stimulants')",3
1555,"('anticonvulsants', 'cotinine')",3
1556,"('chlordiazepoxide', 'nordiazapam')",3
1557,"('6_mam', 'acetylfetanyl')",3
1558,"('carisoprodol', 'meprobamate')",3
1559,"('carisoprodol', 'muscle_relaxants')",3
1560,"('carisoprodol', 'opioids')",3
1561,"('meprobamate', 'opioids')",3
1562,"('7aminoclonazepam', 'diazepam')",3
1563,"('alprazolam', 'nordiazapam')",3
1564,"('eddp', 'thc_cooh')",2
1565,"('amitriptyline', 'duloxetine')",2
1566,"('amitriptyline', 'fentanyl')",2
1567,"('amitriptyline', 'morphine')",2
1568,"('amitriptyline', 'pregabalin')",2
1569,"('duloxetine', 'fentanyl')",2
1570,"('hydromorphone', 'pregabalin')",2
1571,"('nortriptyline', 'pregabalin')",2
1572,"('oxazepam', 'thc_cooh')",2
1573,"('6_mam', 'chloropheniramine')",2
1574,"('chloropheniramine', 'codeine')",2
1575,"('chloropheniramine', 'heroin_from_combo')",2
1576,"('chloropheniramine', 'morphine')",2
1577,"('7aminoclonazepam', 'eddp')",2
1578,"('7aminoclonazepam', 'thc')",2
1579,"('diazepam', 'oxymorphone')",2
1580,"('hydrocodone', 'temazepam')",2
1581,"('oxazepam', 'oxycodone')",2
1582,"('alprazolam', 'antihistamines')",2
1583,"('carboxy_thc', 'oxycodone')",2
1584,"('antibiotics', 'morphine')",2
1585,"('antibiotics', 'piperacillin')",2
1586,"('benzodiazepine', 'piperacillin')",2
1587,"('methadone', 'tramadol')",2
1588,"('methadone', 'tramadol_aggregate')",2
1589,"('chloropheniramine', 'hydrocodone')",2
1590,"('dextromethorphan', 'diphenhydramine')",2
1591,"('diphenhydramine', 'otc_cold_remedies')",2
1592,"('analgesics', 'methadone')",2
1593,"('antihistamines', 'muscle_relaxants')",2
1594,"('diphenhydramine', 'muscle_relaxants')",2
1595,"('oxycodone', 'thc_cooh')",2
1596,"('dextromethorphan', 'methamphetamine')",2
1597,"('antidepressants', 'delta_9_carboxy_thc')",2
1598,"('antidepressants', 'delta_9_thc')",2
1599,"('barbituates', 'benzoylecgonine')",2
1600,"('barbituates', 'thc_aggregate')",2
1601,"('delta_9_carboxy_thc', 'paroxetine')",2
1602,"('delta_9_thc', 'paroxetine')",2
1603,"('barbituates', 'norfluoxetine')",2
1604,"('barbituates', 'aohalprazolam')",2
1605,"('benzodiazepine', 'naloxone')",2
1606,"('benzodiazepine', 'opioid_antagonist')",2
1607,"('caffeine', 'fluoxetine')",2
1608,"('caffeine', 'norfluoxetine')",2
1609,"('eddp', 'naloxone')",2
1610,"('eddp', 'opioid_antagonist')",2
1611,"('fluoxetine', 'hydrocodone')",2
1612,"('fluoxetine', 'norfluoxetine')",2
1613,"('hydrocodone', 'naloxone')",2
1614,"('hydrocodone', 'opioid_antagonist')",2
1615,"('naloxone', 'opioids')",2
1616,"('naloxone', 'paroxetine')",2
1617,"('opioid_antagonist', 'opioids')",2
1618,"('opioid_antagonist', 'paroxetine')",2
1619,"('cocaine', 'hydroxyzine')",2
1620,"('fentanyl', 'metoprolol')",2
1621,"('hydroxyzine', 'mda')",2
1622,"('acetaminophen', 'sedatives_hypnotics')",2
1623,"('analgesics', 'eszopiclone')",2
1624,"('alcohols', 'dihydrocodeine')",2
1625,"('alcohols', 'verapamil')",2
1626,"('clonazepam', 'cocaethylene')",2
1627,"('cocaethylene', 'verapamil')",2
1628,"('dihydrocodeine', 'ethanol')",2
1629,"('dihydrocodeine', 'thc')",2
1630,"('dihydrocodeine', 'thc_cooh')",2
1631,"('ethanol', 'verapamil')",2
1632,"('nordiazapam', 'verapamil')",2
1633,"('acetaminophen', 'anticonvulsants')",2
1634,"('acetaminophen', 'fentanyl')",2
1635,"('analgesics', 'fentanyl')",2
1636,"('anticonvulsants', 'benzoylecgonine')",2
1637,"('anticonvulsants', 'fluoxetine')",2
1638,"('anticonvulsants', 'temazepam')",2
1639,"('barbituates', 'fentanyl')",2
1640,"('benzoylecgonine', 'oxymorphone')",2
1641,"('benzoylecgonine', 'temazepam')",2
1642,"('fentanyl', 'fluoxetine')",2
1643,"('fentanyl', 'gabapentin')",2
1644,"('fluoxetine', 'gabapentin')",2
1645,"('fluoxetine', 'oxycodone')",2
1646,"('fluoxetine', 'oxymorphone')",2
1647,"('gabapentin', 'hydromorphone')",2
1648,"('gabapentin', 'oxycodone')",2
1649,"('gabapentin', 'temazepam')",2
1650,"('paroxetine', 'temazepam')",2
1651,"('cardiovascular', 'narcotics')",2
1652,"('cardiovascular', 'oxazepam')",2
1653,"('cocaethylene', 'metoprolol')",2
1654,"('cocaethylene', 'miscellaneous')",2
1655,"('cocaethylene', 'stimulants')",2
1656,"('lorazepam', 'metoprolol')",2
1657,"('lorazepam', 'narcotics')",2
1658,"('metoprolol', 'miscellaneous')",2
1659,"('miscellaneous', 'nordiazapam')",2
1660,"('miscellaneous', 'thc')",2
1661,"('miscellaneous', 'thc_aggregate')",2
1662,"('miscellaneous', 'thc_cooh')",2
1663,"('narcotics', 'nordiazapam')",2
1664,"('alprazolam', 'cardiovascular')",2
1665,"('amphetamine', 'anticonvulsants')",2
1666,"('amphetamine', 'antidepressants')",2
1667,"('amphetamine', 'barbituates')",2
1668,"('amphetamine', 'eszopiclone')",2
1669,"('amphetamine', 'norfluoxetine')",2
1670,"('amphetamine', 'paroxetine')",2
1671,"('amphetamine', 'sedatives_hypnotics')",2
1672,"('amphetamines', 'nortramadol')",2
1673,"('analgesics', 'citalopram')",2
1674,"('anticonvulsants', 'citalopram')",2
1675,"('antidepressants', 'mirtazapine')",2
1676,"('barbituates', 'eszopiclone')",2
1677,"('barbituates', 'nortramadol')",2
1678,"('barbituates', 'sedatives_hypnotics')",2
1679,"('citalopram', 'eddp')",2
1680,"('citalopram', 'gabapentin')",2
1681,"('citalopram', 'sedatives_hypnotics')",2
1682,"('dextromethorphan', 'eszopiclone')",2
1683,"('eszopiclone', 'norfluoxetine')",2
1684,"('eszopiclone', 'otc_cold_remedies')",2
1685,"('eszopiclone', 'tramadol')",2
1686,"('eszopiclone', 'tramadol_aggregate')",2
1687,"('gabapentin', 'sedatives_hypnotics')",2
1688,"('mirtazapine', 'stimulants')",2
1689,"('norfluoxetine', 'nortramadol')",2
1690,"('norfluoxetine', 'sedatives_hypnotics')",2
1691,"('norfluoxetine', 'tramadol')",2
1692,"('norfluoxetine', 'tramadol_aggregate')",2
1693,"('nortramadol', 'stimulants')",2
1694,"('acetaminophen', 'dextromethorphan')",2
1695,"('acetaminophen', 'otc_cold_remedies')",2
1696,"('amphetamines', 'cocaethylene')",2
1697,"('cocaethylene', 'hydromorphone')",2
1698,"('ephedrine', 'verapamil')",2
1699,"('6_mam', 'miscellaneous')",2
1700,"('6_mam', 'narcotics')",2
1701,"('amphetamines', 'narcotics')",2
1702,"('cocaine', 'lorazepam')",2
1703,"('cocaine', 'miscellaneous')",2
1704,"('cocaine', 'narcotics')",2
1705,"('codeine', 'miscellaneous')",2
1706,"('codeine', 'narcotics')",2
1707,"('heroin_from_combo', 'miscellaneous')",2
1708,"('heroin_from_combo', 'narcotics')",2
1709,"('mda', 'miscellaneous')",2
1710,"('mda', 'narcotics')",2
1711,"('mda', 'oxazepam')",2
1712,"('clonazepam', 'diphenhydramine')",2
1713,"('diphenhydramine', 'verapamil')",2
1714,"('clonazepam', 'diltiazem')",2
1715,"('antihistamines', 'thc')",2
1716,"('hydromorphone', 'metoprolol')",2
1717,"('hydroxyzine', 'thc')",2
1718,"('cocaine', 'diltiazem')",2
1719,"('methamphetamine', 'miscellaneous')",2
1720,"('methamphetamine', 'oxazepam')",2
1721,"('acetaminophen', 'amphetamines')",2
1722,"('amphetamines', 'buprenorphine')",2
1723,"('amphetamines', 'norclozapine')",2
1724,"('amphetamines', 'trazodone')",2
1725,"('analgesics', 'buprenorphine')",2
1726,"('analgesics', 'chlorophenylpiperazine')",2
1727,"('analgesics', 'clonazepam')",2
1728,"('analgesics', 'oxcarbazepine')",2
1729,"('analgesics', 'topiramate')",2
1730,"('anticonvulsants', 'norbuprenorphine')",2
1731,"('anticonvulsants', 'norclozapine')",2
1732,"('anticonvulsants', 'verapamil')",2
1733,"('antidepressants', 'norclozapine')",2
1734,"('antipsycotics', 'buprenorphine')",2
1735,"('antipsycotics', 'norclozapine')",2
1736,"('antipsycotics', 'norfluoxetine')",2
1737,"('antipsycotics', 'oxcarbazepine')",2
1738,"('antipsycotics', 'paroxetine')",2
1739,"('antipsycotics', 'topiramate')",2
1740,"('antipsycotics', 'tramadol')",2
1741,"('antipsycotics', 'tramadol_aggregate')",2
1742,"('antipsycotics', 'trazodone')",2
1743,"('benzodiazepine', 'norclozapine')",2
1744,"('benzodiazepine', 'nortramadol')",2
1745,"('benzodiazepine', 'topiramate')",2
1746,"('buprenorphine', 'topiramate')",2
1747,"('buprenorphine', 'tramadol')",2
1748,"('buprenorphine', 'tramadol_aggregate')",2
1749,"('cardiovascular', 'norfluoxetine')",2
1750,"('cardiovascular', 'topiramate')",2
1751,"('chlorophenylpiperazine', 'fentanyl')",2
1752,"('chlorophenylpiperazine', 'hydromorphone')",2
1753,"('chlorophenylpiperazine', 'norfentanyl')",2
1754,"('chlorophenylpiperazine', 'norfluoxetine')",2
1755,"('clonazepam', 'trazodone')",2
1756,"('dextromethorphan', 'norclozapine')",2
1757,"('eddp', 'norclozapine')",2
1758,"('eddp', 'norfentanyl')",2
1759,"('ephedrine', 'norclozapine')",2
1760,"('ephedrine', 'norfluoxetine')",2
1761,"('ephedrine', 'oxcarbazepine')",2
1762,"('ephedrine', 'paroxetine')",2
1763,"('ephedrine', 'topiramate')",2
1764,"('ephedrine', 'trazodone')",2
1765,"('fentanyl', 'nortramadol')",2
1766,"('hydrocodone', 'norclozapine')",2
1767,"('norbuprenorphine', 'topiramate')",2
1768,"('norclozapine', 'norfluoxetine')",2
1769,"('norclozapine', 'otc_cold_remedies')",2
1770,"('norclozapine', 'opioids')",2
1771,"('norclozapine', 'paroxetine')",2
1772,"('norfentanyl', 'tramadol')",2
1773,"('norfentanyl', 'tramadol_aggregate')",2
1774,"('nortramadol', 'oxcarbazepine')",2
1775,"('nortramadol', 'trazodone')",2
1776,"('topiramate', 'trazodone')",2
1777,"('tramadol', 'verapamil')",2
1778,"('tramadol_aggregate', 'verapamil')",2
1779,"('trazodone', 'verapamil')",2
1780,"('buprenorphine', 'carboxy_thc')",2
1781,"('buprenorphine', 'diphenhydramine')",2
1782,"('carboxy_thc', 'diphenhydramine')",2
1783,"('carboxy_thc', 'norbuprenorphine')",2
1784,"('diltiazem', 'diphenhydramine')",2
1785,"('diphenhydramine', 'norbuprenorphine')",2
1786,"('norbuprenorphine', 'thc_aggregate')",2
1787,"('cardiovascular', 'gastrointestionals')",2
1788,"('cardiovascular', 'promethazine')",2
1789,"('dextromethorphan', 'opiates')",2
1790,"('gastrointestionals', 'aohalprazolam')",2
1791,"('morphine', 'opiates')",2
1792,"('otc_cold_remedies', 'opiates')",2
1793,"('opiates', 'paroxetine')",2
1794,"('promethazine', 'aohalprazolam')",2
1795,"('amphetamines', 'diphenhydramine')",2
1796,"('diltiazem', 'nordiazapam')",2
1797,"('diphenhydramine', 'nordiazapam')",2
1798,"('diphenhydramine', 'thc_cooh')",2
1799,"('doxylamine', 'nordiazapam')",2
1800,"('hydroxyzine', 'methamphetamine')",2
1801,"('methamphetamine', 'metoprolol')",2
1802,"('methamphetamine', 'thc_cooh')",2
1803,"('clonazepam', 'mdma')",2
1804,"('codeine', 'mdma')",2
1805,"('heroin_from_combo', 'mdma')",2
1806,"('mdma', 'nordiazapam')",2
1807,"('alcohols', 'pseudoephedrine')",2
1808,"('anticonvulsants', 'metoprolol')",2
1809,"('anticonvulsants', 'pseudoephedrine')",2
1810,"('anticonvulsants', 'thc')",2
1811,"('anticonvulsants', 'thc_cooh')",2
1812,"('antidepressants', 'hydroxyzine')",2
1813,"('antidepressants', 'pseudoephedrine')",2
1814,"('buprenorphine', 'thc')",2
1815,"('carboxy_thc', 'levetiracetam')",2
1816,"('dextromethorphan', 'hydroxyzine')",2
1817,"('dextromethorphan', 'levetiracetam')",2
1818,"('dextromethorphan', 'pseudoephedrine')",2
1819,"('dextromethorphan', 'thc')",2
1820,"('dextromethorphan', 'thc_cooh')",2
1821,"('ethanol', 'pseudoephedrine')",2
1822,"('hydroxyzine', 'otc_cold_remedies')",2
1823,"('hydroxyzine', 'paroxetine')",2
1824,"('levetiracetam', 'otc_cold_remedies')",2
1825,"('levetiracetam', 'opioids')",2
1826,"('levetiracetam', 'pseudoephedrine')",2
1827,"('levetiracetam', 'thc_aggregate')",2
1828,"('otc_cold_remedies', 'thc')",2
1829,"('otc_cold_remedies', 'thc_cooh')",2
1830,"('paroxetine', 'pseudoephedrine')",2
1831,"('paroxetine', 'thc')",2
1832,"('paroxetine', 'thc_cooh')",2
1833,"('pseudoephedrine', 'thc_aggregate')",2
1834,"('dihydrocodeine', 'methadone')",2
1835,"('dihydrocodeine', 'oxycodone')",2
1836,"('alcohols', 'lamotrigine')",2
1837,"('alcohols', 'muscle_relaxants')",2
1838,"('anticonvulsants', 'doxepin')",2
1839,"('anticonvulsants', 'lamotrigine')",2
1840,"('anticonvulsants', 'muscle_relaxants')",2
1841,"('antidepressants', 'lamotrigine')",2
1842,"('doxepin', 'stimulants')",2
1843,"('eddp', 'levetiracetam')",2
1844,"('ethanol', 'lamotrigine')",2
1845,"('ethanol', 'muscle_relaxants')",2
1846,"('lamotrigine', 'stimulants')",2
1847,"('levetiracetam', 'stimulants')",2
1848,"('muscle_relaxants', 'stimulants')",2
1849,"('alcohols', 'antipsycotics')",2
1850,"('antidepressants', 'nordoxepin')",2
1851,"('antipsycotics', 'ethanol')",2
1852,"('benzodiazepine', 'nordoxepin')",2
1853,"('dextromethorphan', 'methadone')",2
1854,"('dextromethorphan', 'nordoxepin')",2
1855,"('eddp', 'nordoxepin')",2
1856,"('ephedrine', 'methadone')",2
1857,"('methadone', 'otc_cold_remedies')",2
1858,"('nordoxepin', 'otc_cold_remedies')",2
